2024-02-12 02:23:50.574 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-12 02:23:50.916 [main] INFO  com.prakarti.Blog.project.BlogProjectApplication - Starting BlogProjectApplication using Java 21.0.1 with PID 15364 (D:\spring-boot-project\Blog-project\target\classes started by praka in D:\spring-boot-project\Blog-project)
2024-02-12 02:23:50.933 [main] INFO  com.prakarti.Blog.project.BlogProjectApplication - No active profile set, falling back to 1 default profile: "default"
2024-02-12 02:23:58.093 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-02-12 02:23:58.571 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 443 ms. Found 3 MongoDB repository interfaces.
2024-02-12 02:24:01.931 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-02-12 02:24:02.000 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-12 02:24:02.022 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-02-12 02:24:02.023 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-02-12 02:24:02.508 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2024-02-12 02:24:02.540 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 11331 ms
2024-02-12 02:24:05.448 [cluster-ClusterId{value='65c933ed4afadc23a8ec780e', description='null'}-srv-hellcaster-blog.c9eictd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017 to client view of cluster
2024-02-12 02:24:05.690 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.1+12-29"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='root', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@4d43a1b7], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@5b14f482, com.mongodb.Jep395RecordCodecProvider@19705650, com.mongodb.KotlinCodecProvider@1a785fd5]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=hellcaster-blog.c9eictd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-ulij18-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@4a660b34], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2024-02-12 02:24:05.764 [cluster-ClusterId{value='65c933ed4afadc23a8ec780e', description='null'}-srv-hellcaster-blog.c9eictd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-5tqidyh-shard-00-01.c9eictd.mongodb.net:27017 to client view of cluster
2024-02-12 02:24:05.782 [cluster-ClusterId{value='65c933ed4afadc23a8ec780e', description='null'}-srv-hellcaster-blog.c9eictd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-5tqidyh-shard-00-00.c9eictd.mongodb.net:27017 to client view of cluster
2024-02-12 02:24:10.422 [cluster-ClusterId{value='65c933ed4afadc23a8ec780e', description='null'}-ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3013427000, setName='atlas-ulij18-shard-0', canonicalAddress=ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017, hosts=[ac-5tqidyh-shard-00-00.c9eictd.mongodb.net:27017, ac-5tqidyh-shard-00-01.c9eictd.mongodb.net:27017, ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000000c, setVersion=2, topologyVersion=TopologyVersion{processId=65b930378ab8b09bee9c40b0, counter=6}, lastWriteDate=Mon Feb 12 02:24:04 IST 2024, lastUpdateTimeNanos=11125182174300}
2024-02-12 02:24:10.422 [cluster-ClusterId{value='65c933ed4afadc23a8ec780e', description='null'}-ac-5tqidyh-shard-00-00.c9eictd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-5tqidyh-shard-00-00.c9eictd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3011472000, setName='atlas-ulij18-shard-0', canonicalAddress=ac-5tqidyh-shard-00-00.c9eictd.mongodb.net:27017, hosts=[ac-5tqidyh-shard-00-00.c9eictd.mongodb.net:27017, ac-5tqidyh-shard-00-01.c9eictd.mongodb.net:27017, ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=2, topologyVersion=TopologyVersion{processId=65b92d855213efbb7c868ba7, counter=4}, lastWriteDate=Mon Feb 12 02:24:04 IST 2024, lastUpdateTimeNanos=11125180502900}
2024-02-12 02:24:10.422 [cluster-ClusterId{value='65c933ed4afadc23a8ec780e', description='null'}-ac-5tqidyh-shard-00-01.c9eictd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-5tqidyh-shard-00-01.c9eictd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3028273600, setName='atlas-ulij18-shard-0', canonicalAddress=ac-5tqidyh-shard-00-01.c9eictd.mongodb.net:27017, hosts=[ac-5tqidyh-shard-00-00.c9eictd.mongodb.net:27017, ac-5tqidyh-shard-00-01.c9eictd.mongodb.net:27017, ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=2, topologyVersion=TopologyVersion{processId=65b932406cc408cd5712e425, counter=3}, lastWriteDate=Mon Feb 12 02:24:04 IST 2024, lastUpdateTimeNanos=11125182622900}
